Bojan,Bogdanovic,SF,DET,59,32.1,0.488,0.884,2.5,3.8,2.6,0.6,0.1,2.3,21.6,20000000
Desmond,Bane,SG,MEM,58,31.7,0.479,0.883,2.9,5,4.4,1,0.4,2.2,21.5,3845083
Kyle,Kuzma,SF,WAS,64,35,0.448,0.73,2.5,7.2,3.7,0.6,0.5,3,21.2,25568182
Terry,Rozier,SG,CHA,63,35.3,0.415,0.809,2.6,4.1,5.1,1.2,0.3,2.1,21.1,23205221
Anfernee,Simons,SG,POR,62,35,0.447,0.894,3.4,2.6,4.1,0.7,0.2,2.1,21.1,24107143
James,Harden,SG,PHI,58,36.8,0.441,0.867,2.8,6.1,10.7,1.2,0.5,3.4,21,35640000
CJ,McCollum,SG,NOR,75,35.3,0.437,0.769,2.8,4.4,5.7,0.9,0.5,2.4,20.9,35802469
Jordan,Clarkson,PG,UTH,61,32.6,0.444,0.816,2.5,4,4.4,0.5,0.2,3,20.8,23487629
Karl-Anthony,Towns,C,MIN,29,33,0.495,0.874,2.1,8.1,4.8,0.7,0.6,3,20.8,36016200
Tyrese,Haliburton,PG,IND,56,33.6,0.49,0.871,2.9,3.7,10.4,1.6,0.4,2.5,20.7,5808435
Jerami,Grant,SF,POR,63,35.7,0.475,0.813,2.3,4.5,2.4,0.8,0.8,1.8,20.5,27586207
Dejounte,Murray,SG,ATL,74,36.4,0.464,0.832,1.8,5.3,6.1,1.5,0.3,2.2,20.5,18214000
Jordan,Poole,SG,WAS,82,30,0.43,0.87,2.6,2.7,4.5,0.8,0.3,3.1,20.4,27955357
Bam,Adebayo,C,MIA,75,34.6,0.54,0.806,0,9.2,3.2,1.2,0.8,2.5,20.4,32600060
Tyrese,Maxey,PG,PHI,60,33.6,0.481,0.845,2.7,2.9,3.5,0.8,0.1,1.3,20.3,4343920
Kelly,OubreJr.,SG,PHI,48,32.3,0.431,0.76,2.3,5.2,1.1,1.4,0.4,1.3,20.3,0
Mikal,Bridges,SF,BKN,83,35.7,0.468,0.895,2,4.4,3.3,1.1,0.7,1.5,20.1,21700000
Tyler,Herro,PG,MIA,67,34.9,0.439,0.934,3,5.4,4.2,0.8,0.2,2.4,20.1,27000000
Louis,King,SF,PHI,1,29,0.615,0,4,4,2,1,0,2,20,0
Jamal,Murray,PG,DEN,65,32.8,0.454,0.833,2.6,4,6.2,1,0.2,2.2,20,33833400
Paolo,Banchero,PF,ORL,72,33.8,0.427,0.738,1.2,6.9,3.7,0.8,0.5,2.8,20,11608080
Cade,Cunningham,PG,DET,12,33.3,0.415,0.837,1.4,6.2,6,0.8,0.6,3.3,19.9,11055360
RJ,Barrett,SG,NYK,73,33.9,0.434,0.74,1.7,5,2.8,0.4,0.2,2.2,19.6,23883929
Fred,VanVleet,SG,HOU,69,36.7,0.393,0.898,3,4.1,7.2,1.8,0.6,2,19.3,40806300
Jrue,Holiday,PG,BOS,67,32.6,0.479,0.859,2.4,5.1,7.4,1.2,0.4,2.9,19.3,36861707
Kevin,PorterJr.,SG,HOU,59,34.3,0.442,0.784,2.4,5.3,5.7,1.4,0.3,3.2,19.2,0
Domantas,Sabonis,PF,SAC,79,34.6,0.615,0.742,0.4,12.3,7.3,0.8,0.5,2.9,19.1,30600000
Jaren,JacksonJr.,PF,MEM,63,28.4,0.506,0.788,1.6,6.8,1,1,3,1.7,18.6,0
Franz,Wagner,SF,ORL,80,32.6,0.485,0.842,1.6,4.1,3.5,1,0.2,2.1,18.6,5508720
Devin,Vassell,SG,SAS,38,31,0.439,0.78,2.7,3.9,3.6,1.1,0.4,1.5,18.5,5887899
Deandre,Ayton,C,POR,67,30.4,0.589,0.76,0.1,10,1.7,0.6,0.8,1.8,18,32459438
Myles,Turner,C,IND,62,29.4,0.548,0.783,1.5,7.5,1.4,0.6,2.3,1.7,18,20975000
D'Angelo,Russell,PG,LAL,71,32.5,0.469,0.829,2.7,3,6.2,1,0.4,2.6,17.8,17307693
Nikola,Vucevic,C,CHI,82,33.5,0.52,0.835,1.5,11,3.2,0.7,0.7,1.7,17.6,18518519
